"CustomerID","FirstName","MiddleName","LastName","BirthDate","MaritalStatus","YearlyIncome","Gender","TotalChildren","NumberChildrenAtHome","Education","Occupation","HomeOwner","CommuteDistance","NumberOfPurchases","ProfitGenerated"
11004,"Elizabeth",,"Johnson","1968-08-08 00:00:00","S","75001-100000","F",5,5,"Bachelors ","Professional","True","1-2 Miles",5,10351.6657
11006,"Janet","G","Alvarez","1965-12-06 00:00:00","S","50001-75000","F",0,0,"Bachelors ","Professional","True","5-10 Miles",1,25636.9867
11007,"Marco",,"Mehta","1964-05-09 00:00:00","M","50001-75000","M",3,3,"Bachelors ","Professional","True","0-1 Miles",2,9221.5725
11008,"Rob",,"Verhoff","1964-07-07 00:00:00","S","50001-75000","F",4,4,"Bachelors ","Professional","True","10+ Miles",3,16556.0652
11009,"Shannon","C","Carlson","1964-04-01 00:00:00","S","50001-75000","M",0,0,"Bachelors ","Professional","False","5-10 Miles",1,27955.7062
11011,"Curtis",,"Lu","1963-11-04 00:00:00","M","50001-75000","M",4,4,"Bachelors ","Professional","True","10+ Miles",4,17241.6784
11012,"Lauren","M","Walker","1968-01-18 00:00:00","M","75001-100000","F",2,0,"Bachelors ","Management","True","1-2 Miles",2,13535.9868
11013,"Ian","M","Jenkins","1968-08-06 00:00:00","M","75001-100000","M",2,0,"Bachelors ","Management","True","0-1 Miles",3,15911.803
11014,"Sydney",,"Bennett","1968-05-09 00:00:00","S","75001-100000","F",3,0,"Bachelors ","Management","False","1-2 Miles",3,13191.614
11015,"Chloe",,"Young","1979-02-27 00:00:00","S","25001-50000","F",0,0,"Partial College","Skilled Manual","False","5-10 Miles",1,10626.0923
11017,"Shannon",,"Wang","1944-06-26 00:00:00","S","0-25000","F",4,0,"High School","Skilled Manual","True","5-10 Miles",2,2827.898
11018,"Clarence","D","Rai","1944-10-09 00:00:00","S","25001-50000","M",2,0,"Partial College","Clerical","True","5-10 Miles",2,9323.6702
11019,"Luke","L","Lal","1978-03-07 00:00:00","S","25001-50000","M",0,0,"High School","Skilled Manual","False","5-10 Miles",2,12094.631
11023,"Seth","M","Edwards","1978-10-11 00:00:00","M","25001-50000","M",0,0,"Partial College","Skilled Manual","True","1-2 Miles",1,8082.8653
11024,"Russell",,"Xie","1978-09-17 00:00:00","M","50001-75000","M",0,0,"Partial College","Skilled Manual","True","5-10 Miles",2,18587.7082
11025,"Alejandro",,"Beck","1945-12-23 00:00:00","M","0-25000","M",2,1,"Partial High School","Clerical","True","1-2 Miles",2,1345.4481
11026,"Harold",,"Sai","1946-04-03 00:00:00","S","25001-50000","M",2,0,"Partial College","Clerical","False","1-2 Miles",2,4769.7423
11027,"Jessie","R","Zhao","1946-12-07 00:00:00","M","25001-50000","M",2,0,"Partial College","Clerical","True","5-10 Miles",2,7415.1147
11030,"Bethany","G","Yuan","1947-02-22 00:00:00","M","0-25000","F",2,1,"Partial High School","Clerical","True","1-2 Miles",3,1000.9566
11032,"Denise",,"Stone","1947-06-11 00:00:00","M","0-25000","F",4,0,"High School","Skilled Manual","True","1-2 Miles",2,1345.1621
11033,"Jaime",,"Nath","1947-09-23 00:00:00","M","0-25000","M",4,0,"High School","Skilled Manual","True","5-10 Miles",2,2975.7973
11034,"Ebony",,"Gonzalez","1947-06-19 00:00:00","M","0-25000","F",4,0,"High School","Skilled Manual","True","5-10 Miles",2,2279.1232
11035,"Wendy",,"Dominguez","1948-02-24 00:00:00","M","0-25000","F",2,1,"Partial High School","Clerical","True","1-2 Miles",2,1022.2452
11036,"Jennifer","C","Russell","1978-12-18 00:00:00","M","50001-75000","F",0,0,"Partial College","Skilled Manual","True","1-2 Miles",2,8696.9761
11037,"Chloe","M","Garcia","1977-11-27 00:00:00","S","25001-50000","F",0,0,"Partial High School","Clerical","False","5-10 Miles",2,6821.782
11038,"Diana","F","Hernandez","1948-03-23 00:00:00","M","0-25000","F",2,1,"Partial High School","Clerical","True","5-10 Miles",2,1688.0133
11039,"Marc","J","Martin","1948-12-17 00:00:00","M","25001-50000","M",3,0,"Partial College","Clerical","True","5-10 Miles",3,6897.6737
11040,"Jesse",,"Murphy","1977-08-01 00:00:00","M","25001-50000","M",0,0,"Partial College","Skilled Manual","True","1-2 Miles",3,8020.3215
11041,"Amanda","M","Carter","1977-10-16 00:00:00","M","50001-75000","F",0,0,"Partial College","Skilled Manual","True","1-2 Miles",2,8635.9762
11044,"Adam","L","Flores","1949-05-24 00:00:00","M","0-25000","M",2,1,"Partial High School","Clerical","True","1-2 Miles",2,1377.0285
11046,"Christine",,"Yuan","1950-03-22 00:00:00","M","25001-50000","F",3,0,"High School","Skilled Manual","True","5-10 Miles",2,6089.6633
11047,"Jaclyn","D","Lu","1950-02-27 00:00:00","M","25001-50000","F",3,0,"High School","Skilled Manual","False","1-2 Miles",2,3117.9269
11048,"Jeremy",,"Powell","1950-11-22 00:00:00","M","25001-50000","M",3,0,"High School","Skilled Manual","True","5-10 Miles",3,7947.0479
11049,"Carol","C","Rai","1980-07-18 00:00:00","S","25001-50000","F",0,0,"Partial High School","Clerical","True","5-10 Miles",2,8208.2811
11052,"Heidi",,"Lopez","1951-08-07 00:00:00","S","25001-50000","F",2,0,"Partial College","Clerical","False","5-10 Miles",2,5964.2932
11054,"Deanna",,"Munoz","1952-03-10 00:00:00","M","25001-50000","F",2,0,"Partial College","Skilled Manual","True","5-10 Miles",2,7415.6298
11055,"Gilbert",,"Raje","1952-03-05 00:00:00","M","25001-50000","M",2,0,"Partial College","Skilled Manual","True","5-10 Miles",2,9641.6
11056,"Michele","L","Nath","1953-04-03 00:00:00","M","25001-50000","F",3,0,"Partial College","Skilled Manual","True","5-10 Miles",3,6904.6947
11058,"Marc",,"Diaz","1954-04-27 00:00:00","M","75001-100000","M",2,0,"Partial College","Skilled Manual","True","1-2 Miles",2,10153.9439
11059,"Ashlee","J","Andersen","1954-04-01 00:00:00","S","75001-100000","F",2,0,"Partial College","Skilled Manual","True","5-10 Miles",2,15972.2071
11060,"Jon","L","Zhou","1954-03-17 00:00:00","M","75001-100000","M",2,0,"Partial College","Skilled Manual","True","5-10 Miles",2,16580.0572
11063,"Angela",,"Murphy","1975-04-07 00:00:00","S","25001-50000","F",0,0,"High School","Skilled Manual","True","5-10 Miles",2,11181.0859
11064,"Chase",,"Reed","1975-12-07 00:00:00","M","25001-50000","M",0,0,"High School","Skilled Manual","True","5-10 Miles",2,11576.3912
11065,"Jessica",,"Henderson","1973-10-09 00:00:00","M","50001-75000","F",0,0,"Partial College","Skilled Manual","False","1-2 Miles",2,7270.954
11066,"Grace","T","Butler","1973-11-27 00:00:00","M","50001-75000","F",0,0,"Partial College","Professional","True","5-10 Miles",2,16515.7592
11068,"Tiffany",,"Liang","1955-09-23 00:00:00","S","75001-100000","F",2,0,"High School","Skilled Manual","True","5-10 Miles",2,13931.8086
11069,"Carolyn",,"Navarro","1955-09-21 00:00:00","S","75001-100000","F",2,0,"High School","Skilled Manual","False","1-2 Miles",2,7075.0238
11070,"Willie","T","Raji","1955-04-05 00:00:00","M","75001-100000","M",2,0,"High School","Skilled Manual","True","5-10 Miles",2,14486.6455
11072,"Casey",,"Luo","1955-02-06 00:00:00","S","75001-100000","F",2,0,"High School","Skilled Manual","False","1-2 Miles",2,7084.4046
11073,"Amy",,"Ye","1956-08-14 00:00:00","S","50001-75000","F",2,0,"High School","Skilled Manual","True","5-10 Miles",2,11412.3021
11074,"Levi","A","Arun","1956-08-28 00:00:00","S","50001-75000","M",2,0,"High School","Skilled Manual","True","5-10 Miles",2,14700.4603
11075,"Felicia","L","Jimenez","1957-11-16 00:00:00","S","75001-100000","F",2,0,"High School","Professional","True","5-10 Miles",2,16068.5157
11076,"Blake",,"Anderson","1957-07-13 00:00:00","S","75001-100000","M",2,0,"High School","Professional","True","5-10 Miles",3,20880.8645
11077,"Leah",,"Ye","1957-09-19 00:00:00","S","75001-100000","F",2,0,"High School","Professional","False","1-2 Miles",2,8149.3955
11078,"Gina","E","Martin","1974-01-10 00:00:00","S","25001-50000","F",0,0,"High School","Professional","False","1-2 Miles",2,6587.8398
11080,"Damien",,"Chander","1959-07-17 00:00:00","M","greater than 100000","M",0,0,"Graduate Degree","Management","True","0-1 Miles",2,26461.6529
11081,"Savannah","C","Baker","1966-07-24 00:00:00","M","greater than 100000","F",2,2,"Bachelors ","Management","True","2-5 Miles",3,20218.457
11082,"Angela","L","Butler","1966-08-04 00:00:00","S","greater than 100000","F",0,0,"Graduate Degree","Management","False","1-2 Miles",3,23388.8798
11083,"Alyssa","F","Cox","1966-03-15 00:00:00","M","greater than 100000","F",0,0,"Graduate Degree","Management","True","1-2 Miles",3,22340.7662
11085,"Emily",,"Johnson","1957-07-19 00:00:00","S","50001-75000","F",2,0,"High School","Professional","False","5-10 Miles",2,10975.4982
11089,"Abigail","M","Price","1957-02-05 00:00:00","S","75001-100000","F",2,1,"Bachelors ","Management","True","2-5 Miles",1,18055.4845
11091,"Dalton",,"Perez","1957-04-04 00:00:00","M","75001-100000","M",2,0,"Partial College","Professional","True","5-10 Miles",1,19171.0059
11096,"Andr�s",,"Anand","1962-08-10 00:00:00","M","50001-75000","M",1,0,"Bachelors ","Professional","True","5-10 Miles",1,21282.4157
11099,"Adam",,"Ross","1961-03-08 00:00:00","M","50001-75000","M",1,0,"Bachelors ","Professional","True","0-1 Miles",1,11801.509
11100,"Latasha","L","Navarro","1960-09-15 00:00:00","S","50001-75000","F",1,0,"Partial College","Skilled Manual","True","5-10 Miles",1,14151.8919
11101,"Abby","L","Sai","1965-05-08 00:00:00","S","50001-75000","F",0,0,"Bachelors ","Professional","False","0-1 Miles",1,11955.1346
11102,"Julia","L","Nelson","1965-04-21 00:00:00","S","75001-100000","F",5,5,"Bachelors ","Professional","True","1-2 Miles",4,10452.2151
11106,"Jessie",,"Liu","1964-09-11 00:00:00","S","50001-75000","M",0,0,"Bachelors ","Professional","False","5-10 Miles",1,27842.3829
11108,"Kari","C","Alvarez","1963-07-14 00:00:00","S","50001-75000","F",0,0,"Bachelors ","Professional","False","0-1 Miles",2,11837.7455
11114,"Leslie","C","Moreno","1962-05-28 00:00:00","S","50001-75000","F",5,4,"Partial College","Skilled Manual","True","5-10 Miles",2,9634.1547
11116,"Clinton","E","Carlson","1962-10-07 00:00:00","M","50001-75000","M",5,4,"Partial College","Skilled Manual","True","5-10 Miles",2,9954.9018
11117,"April",,"Deng","1961-02-21 00:00:00","M","50001-75000","F",5,4,"Partial College","Skilled Manual","True","10+ Miles",3,8590.425
11118,"Alvin","M","Zeng","1957-07-03 00:00:00","S","75001-100000","M",1,0,"Partial College","Skilled Manual","False","0-1 Miles",1,10449.0105
11121,"Orlando",,"Suarez","1960-11-18 00:00:00","M","50001-75000","M",5,4,"Partial College","Skilled Manual","True","10+ Miles",3,11065.1164
11122,"Byron",,"Vazquez","1960-04-02 00:00:00","M","50001-75000","M",5,4,"Partial College","Skilled Manual","True","5-10 Miles",3,9964.9215
11123,"Philip","A","Alvarez","1960-06-20 00:00:00","M","50001-75000","M",5,4,"Partial College","Skilled Manual","True","10+ Miles",3,11059.7145
11128,"Samantha",,"Long","1975-12-05 00:00:00","M","25001-50000","F",0,0,"High School","Skilled Manual","True","5-10 Miles",1,8942.6146
11129,"Julia","M","Wright","1975-08-05 00:00:00","S","25001-50000","F",0,0,"High School","Skilled Manual","True","5-10 Miles",1,11167.0897
11130,"Caroline","L","Russell","1980-01-06 00:00:00","M","25001-50000","F",0,0,"High School","Skilled Manual","True","5-10 Miles",2,8860.658
11132,"Melissa","E","Richardson","1980-10-26 00:00:00","S","25001-50000","F",0,0,"High School","Skilled Manual","False","5-10 Miles",2,9345.9967
11134,"Larry","D","Townsend","1946-02-26 00:00:00","S","0-25000","M",5,0,"High School","Skilled Manual","True","5-10 Miles",2,3416.8029
11135,"Marcus","L","Harris","1979-11-03 00:00:00","S","25001-50000","M",0,0,"Partial High School","Clerical","False","5-10 Miles",2,8791.8322
11136,"Brianna","D","Morgan","1978-10-26 00:00:00","S","25001-50000","F",0,0,"High School","Skilled Manual","False","0-1 Miles",2,5224.3993
11138,"Lauren",,"Davis","1978-09-15 00:00:00","M","25001-50000","F",0,0,"High School","Skilled Manual","False","0-1 Miles",2,4128.0105
11139,"Tanya",,"Moreno","1938-11-09 00:00:00","S","25001-50000","F",2,0,"Partial College","Clerical","False","5-10 Miles",2,5891.6846
11140,"Javier","L","Alvarez","1977-02-11 00:00:00","S","25001-50000","M",0,0,"Partial High School","Clerical","False","5-10 Miles",2,8789.2838
11141,"Nicole",,"Ramirez","1977-06-21 00:00:00","M","25001-50000","F",0,0,"High School","Skilled Manual","False","0-1 Miles",2,4140.3396
11142,"Eduardo",,"Patterson","1977-08-14 00:00:00","S","25001-50000","M",0,0,"High School","Skilled Manual","False","0-1 Miles",2,6792.6849
11143,"Jonathan","M","Henderson","1977-02-04 00:00:00","M","25001-50000","M",0,0,"High School","Skilled Manual","True","5-10 Miles",2,11567.9965
11144,"Edward",,"Hernandez","1979-09-09 00:00:00","S","25001-50000","M",0,0,"High School","Skilled Manual","False","0-1 Miles",2,6678.7188
11145,"Jasmine","L","Coleman","1979-12-08 00:00:00","S","25001-50000","F",0,0,"High School","Skilled Manual","False","0-1 Miles",2,5145.7987
